2024-03-03 10:39:43,526 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Current SDK version is 0.16.3
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Configure stats pid to 51915
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Loading settings from /home/luyao/.config/wandb/settings
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Loading settings from /home/luyao/amortized_vi_trpl/2DGaussian/wandb/settings
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-03 10:39:43,527 INFO    MainThread:51915 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '2DGaussian/model.py', 'program_abspath': '/home/luyao/amortized_vi_trpl/2DGaussian/model.py', 'program': '/home/luyao/amortized_vi_trpl/2DGaussian/model.py'}
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:_log_setup():526] Logging user logs to /home/luyao/amortized_vi_trpl/2DGaussian/wandb/run-20240303_103943-c6y97505/logs/debug.log
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:_log_setup():527] Logging internal logs to /home/luyao/amortized_vi_trpl/2DGaussian/wandb/run-20240303_103943-c6y97505/logs/debug-internal.log
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:init():566] calling init triggers
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'n_epochs': 5, 'batch_size': 16, 'n_context': 640, 'fc_layer_size': 32, 'init_lr': 0.01, 'initialization_type': 'orthogonal', 'weight_decay': 1e-05}
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:init():616] starting backend
2024-03-03 10:39:43,528 INFO    MainThread:51915 [wandb_init.py:init():620] setting up manager
2024-03-03 10:39:43,532 INFO    MainThread:51915 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-03 10:39:43,534 INFO    MainThread:51915 [wandb_init.py:init():628] backend started and connected
2024-03-03 10:39:43,543 INFO    MainThread:51915 [wandb_init.py:init():720] updated telemetry
2024-03-03 10:39:43,562 INFO    MainThread:51915 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-03-03 10:39:44,347 INFO    MainThread:51915 [wandb_run.py:_on_init():2262] communicating current version
2024-03-03 10:39:44,410 INFO    MainThread:51915 [wandb_run.py:_on_init():2271] got version response 
2024-03-03 10:39:44,411 INFO    MainThread:51915 [wandb_init.py:init():804] starting run threads in backend
2024-03-03 10:39:46,192 INFO    MainThread:51915 [wandb_run.py:_console_start():2241] atexit reg
2024-03-03 10:39:46,192 INFO    MainThread:51915 [wandb_run.py:_redirect():2096] redirect: wrap_raw
2024-03-03 10:39:46,192 INFO    MainThread:51915 [wandb_run.py:_redirect():2161] Wrapping output streams.
2024-03-03 10:39:46,192 INFO    MainThread:51915 [wandb_run.py:_redirect():2186] Redirects installed.
2024-03-03 10:39:46,193 INFO    MainThread:51915 [wandb_init.py:init():847] run started, returning control to user process
2024-03-03 10:39:52,760 WARNING MsgRouterThr:51915 [router.py:message_loop():77] message_loop has been closed
